,product_name,product_url,product_price,product_rating,product_review_count
41,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9,"1,299",4.1,"1,013"
42,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Nevy Blue,https://www.amazon.in/DZert-Girls-Polyester-White-Backpack/dp/B07H1BPCGQ,339,3.8,"2,292"
43,Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758,"1,075",4.3,"1,461"
44,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W,560,4.3,111
45,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,https://www.amazon.in/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C,981.,4.4,801
46,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF,"1,181",4.2,"1,364"
47,American Tourister Spin 49 cms Teal Laptop Backpack,https://www.amazon.in/American-Tourister-FS0-11-001/dp/B07S13P8BW,"1,699",4.0,"1,432"
48,LL LEATHER LAND DESIGNER BAGS Women Sling Bag,https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD,299,4.0,"1,630"
49,Greemito Multipurpose clothespin bag with hanger | Bathroom Organizer Hanging Bag | Hanging Net Bags For Vegetables and Fruits Storage | Pack of (2),https://www.amazon.in/Greemito-Multipurpose-clothespin-bag-Vegetables/dp/B08W8TY43R,299,4.2,37
50,"GoTrippin Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)",https://www.amazon.in/GoTrippin-Camping-Outdoors-Polyester-Adjustable/dp/B088LHS5LP,999,4.4,"1,897"
51,Large 26L Ace Laptop Backpack Laptop Bag | Office Bag With USB Charging Port | College Bag,https://www.amazon.in/Ace-Laptop-Backpack-Charging-College/dp/B09ZB5HGWB,569,4.0,1
