,product_name,product_url,product_price,product_rating,product_review_count,asin,manufacturer,description,product_descritpion
143,Crazyify Blue Elephant Printed Laptop Bag for Men & Women | Canvas Laptop Bags/Briefcase with Screen Size Up to 15.6 Inch,https://www.amazon.in/Crazyify-Elephant-Printed-Laptop-Briefcase/dp/B09Z2D3BZD,749,3.4,2,B09Z2D3BZD,American,"  Lightweight multifunctional printed laptop bag/briefacse. It will be an excellent companion for your daily activities or business trips.    Designed in exquisite prints with the help of canvas. Suitable for both men and women    This Spacious laptop bag will fit laptops upto 15.6 screen size.    Best gifting choice for boss, colleagues, and friends as it is an ideal corporate gift.    The laptop bag consists of 2 inside pockets with handle   "," 
 Our Office Bags are ideal for carrying to and from the office, meetings, and travel. These fashionable bags are in line with the most recent market trends. These laptop bags can accommodate laptops up to 15.6 inches in size. The trendy office laptop bags are available in a variety of Western as well as Indian ethnic prints and designs. Please keep in mind that these laptop bags are created in a responsible manner. Our whole line of products is exquisite in design and craftsmanship. As a result, you may now wear a chic item with style. These breathable and wrinkle-free laptop bags are just what you need to seem put together while also keeping your laptop safe. These vibrantly patterned laptop bags feature segregated storage for laptops. Soft microfiber layer handles, and enhanced zippers are all part of the design. These bags have a signature design. For a timeless and sophisticated style, this laptop sling handbag bag has a simple rectangular form with clean stitching. Structure and utility: with a lightweight feel, ample interior, and sumptuous soft handle, this popular, take-everywhere bag is a fashionable, yet useful bag.  "
144,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,"1,299",4.1,8,B0BTD4S4XF,Tabelito®,"  Care Instructions: Hand Wash Only    Well Organized compartment ,Security Back Pocket   "," 
 A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self  "
150,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9,949,3.7,826,B09B2581S9,F,"  100% Polyester, High Quality, Durable and Water Resistant Fabric    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag; 1-year International Warranty against manufacturing defects    Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult   "," 
 Safari Sneak is a 26 Litres, 2 compartment USB backpack perfect for daily usage. Built in USB charging port outside and built in charging cable inside, perfect for working professionals and college goers. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.  "
151,F Gear String 11 Ltrs Nylon Black Gym Bag,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,158,4.0,437,B07PC28YQ9,Safari,  Lightweight gym bags    Ergonomic Design    Durable    Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags    Drawstring closure   ," 
 The product will be an excellent pick for you. It ensures an easy maintenance.  "
152,Safari Groove 35 Ltrs Water Resistant Backpack,https://www.amazon.in/Safari-Groove-Water-Resistant-Backpack/dp/B09B27WXSF,899,3.7,314,B09B27WXSF,Genie,"  100% Polyester, High Quality, Durable and Water Resistant Fabric    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support    1-year International Warranty against manufacturing defects   "," 
"
157,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,599,3.8,647,B09B277CR5,Bennett™,  Lightweight yet durable backpack/daypack for school use or everyday outings    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester   ," 
 Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.  "
162,"Skybags Drip NXT 02 Unisex Daypack Backpack with Coin Pouch, Pink",https://www.amazon.in/Skybags-Unisex-Daypack-Backpack-Pouch/dp/B0BFX8KB23,"2,499",5.0,1,B0BFX8KB23,Szeentp,  Care Instructions: Wipe with Dry Cloth    Material: Polyester    Wheels: No    Compartment: 3    Dimensions: LxWxH: 1219.2 x 838.2 x 546.1 cm    Lock Type: No Lock   ," 
 Drip Nxt 02 Bp With Coin Pouch Pink  "
163,Szeentp DEEMOM Polyester 15 L Blue School Bag with Laptop Compartment (Black),https://www.amazon.in/DEEMOM-Polyester-School-Laptop-Compartment/dp/B08MYLMFGT,350,3.7,102,B08MYLMFGT,Arctic,"  Outer Material: Polyester : Color: Black Number of Compartments: 2, : Water bottle/umbrella pouch Compatibility: Yes, Laptop Size: 15 inches Water Proof & padded shoulder straps for comforts Perfect for business trips or weekend getaways Adjustable Shoulder Straps : Laptop Compatibility: Yes<br><br>    Water Resistance Level: Waterproof; Lining Description: Polyurethane<br>    <br>    <br>    <br>   "," 
 Polyester 15 L Blue School Bag with Laptop Compartment This black and blue-striped unisex backpack is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.  "
165,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),https://www.amazon.in/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,"1,089",4.0,676,B08FX1R6WY,Dyazo,"  Pack all your essentials when you are on the go, in this canvas backpack from F Gear it has an appealing combination of style, fashion and function at the same time.    the capacity of the bag is 20L comes with a drawstring closure and 4 pockets. The pocket on the side is zippered, one easy pocket in the front and two snap close pockets on the side of the backpack with magnet buttons to hold the valuables.    Main padded compartment for 17” laptop and adjustable padded shoulder straps.    This bag has top cover with quick release magnet buttons Also, comes with numerous colorful stickers that are added to the design to make it look trendy.    Comes with the F Gear promise of quality and durability.   "," 
 F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376)  "
171,Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,https://www.amazon.in/Gear-Compact-Business-Backpack-BUSCOMPACT001/dp/B08D73QVTD,759,4.3,557,B08D73QVTD,Red,"  Outer Material: Polyester, Color: Black    Water resistant    Capacity: 17 liters; Weight: 400 grams; Dimensions: 45 cms x 30 cms x 13 cms (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15.4Strap Type: Yes    Shoulder straps padded with pp foam/ eva sheet. Anti slip fabric / breathable spongy mesh on shoulder stpars   "," 
 All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.  "
172,Red Lemon BANGE Executive Leader Premium Laptop Backpack for men Leather Bag Expandable Polyester 2 in 1 Outdoor Travel Laptop Backpack fits 15.6 inch Laptops (Black),https://www.amazon.in/Red-Lemon-Executive-Expandable-Polyester/dp/B0BLSD79SN,"4,999",4.0,2,B0BLSD79SN,Aepigo,"  PREMIUM MATERIAL: This multifunctional bag is made of Water Repellent oxford material to protect your goods from water. For the inner lining, soft feel polyester is used. Premium YKK ZIPPERS - Worlds best Zippers are used in this backpack. The hardware such as zippers and pullers used are smooth and durable. The Front vertical zipper pocket which has a Leather Finish in the front, can hold files, folders etc and extendable side pocket which provides space for bottle or umbrella.    EXPANDABLE CAPACITY : The expandable roomy spaced compartment comes with soft flannel padded Laptop space that protects up to a 15.6 inch laptop with added Tab pocket and it reduces the friction between the backpack and the gadgets. Additional Waterproof Pouch and 2 small pockets to keep other gadgets like phone and powerbank are available in the main compartment. The spacious compartment can hold clothings and other travel accessories too.    USB FEATURE : With a built in USB charger outside and a built in charging cable ,this usb bag offers you a more convenient way to charge your electronic device anywhere. This backpack doesn't power itself, you need a power bank to charge it.    TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with thick strap sponge soft padding, gives you maximum back support. Breathable and adjustable shoulder straps with glasses hanging hook relieve the stress of shoulder. Anti theft Back pocket can store items that can be easily accessible.    ADDITIONAL FEATURES: This backpack provides additional features like The shoulder strap has a card pocket design for easy travel, and straps where you can slide in your Shades or other handy items. There is an additional Keychain Holder insde the main compartment where you can attach your keys and not lose them with the other items in the bag. The Organised design and Premium Durable fabric of this backpack makes it the best choice.   "," 
"
175,"BESTAQUA Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider,Makeup Organizer Bags(Multi)",https://www.amazon.in/BESTAQUA-Capacity-Cosmetic-Cosmetics-Organizer/dp/B0BW62ZR8N,799,1.0,1,B0BW62ZR8N,SIDRUM,"  ☑️【2023 New Upgraded Design】The compact cosmetic bag for women has a classic Square stripe design, very elegant and stylish, perfect for personal use or as a gift! All these handing makeup bags for purse with a handle, it is easy to carry when you are on the go.    ☑️【Premium Materials】This makeup travel bag is made of waterproof PU leather with a high-quality metal zipper for easy closure. The cosmetic bags is easy to clean and performed well in prevents things inside from getting wet or slipping off. Even when it is full, it can maintain a good shape and is not easily deformed.    ☑️【Large capacity Cosmetic Bag】The size of cosmetic travel bag is 25x12x13 cm/9.8x4.7x5.1in. Ideal for holding all your beauty products. The 2 large main compartment can be used to store large skin-care product, while 3 side pockets for small items like eyeshadow, concealer or lipstick.    ☑️【Multifunctional Storage】practical cosmetic bags can be uesd as toiletry bag, makeup pouch, travel storage bag, jewelry case, medicine bag, digital accessories bag, wash bag. It is ideal for travel, vacation, business trip, gym, camping, bathroom organization and outdoor activities.    ☑️【Perfect Gift】The organizer travel bag for girl looks simple and elegant, suitable for both home and travel to organize your personal and travel items.It's a good ideal gift for women, friends,wife and those who always in travel. Also a great holiday or birthday gift for women and girls.   "," 
 Portable travel cosmetic storage bag Are you still worried about not finding a makeup bag that suits you? The large capacity cosmetic bags meet your needs! This is a cosmetic bag with a three-dimensional design that is not easily deformed, where the padded semi-flexible shell protects your belongings from external pressure. This Make up Bags not only can storage your cosmetics, but also Jewelry, Electronic Accessories, Camera, Essential oil, Toiletries, Shaving Kit, glasses,Valuable objects and so on. DURABLE ZIPPER High quality zipper, durable and not easy to damage. High-grade zipper closure for easy opening and closing. The widened zipper makes the bag more three-dimensional. BIG CAPACITY This bag has a large capacity and can hold many essentials for going out. Multiple sections are neatly arranged to keep your essentials organized.C SMOOTH HANDLES Portable handle design makes it easy to carry, so it won't be a burden for travel, but a good helper. Multifunction Storage Bag The makeup storage bag is not only for travel cosmetics, but also can be used to store other items, such as electronic accessories, cameras, sunglasses, jewelry, valuables and so forth. It can be seen as a must-have item for your daily life or on a journey.  "
176,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8,664,4.4,913,B09P74TZY8,motherly,"  External Size (LxWxH): 250x150x200 mm, Internal Size (LxWxH): 230x110x180 mm    Accommodates all Entry Level & Mid Range Digital SLR Cameras with 18-55mm Lens attached + 55 to 250mm lens + Charger & cable , filter , Memory card and other accessories.Waterproof Rain Cover is included for Hustle-free outdoor activities.    back zipper pocket for keys, cards, chargers and other storage; Inner compartment zipper net bag for SD card box, filter cloth, or cleaning kit storage.Two side net pockets. Adjustable shoulder carrying strap.    Polyurethane coating super nylon Water shield Material. With inside detachable divider to adjust the inside space for camera, lens and accessories.    Package Includes: 1*waterproof Camera Case Bag 1*Shoulder Strap 1*Rain Cover 1*Spacer Pad   "," 
 Polyurethane coating super nylon Water shield Material. With inside detachable divider to adjust the inside space for camera, lens and accessories.  "
179,Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue),https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV,"1,516",4.4,379,B09VDQRFRV,ADISA,  All Buckled - The Raider Max Kit Bag features a technically devised buckle to hold the straps intact.    Premium Finish - Your weapon holder deserves an outlandish look and so we have left no stone unturned to ensure it wears a polished look.    Unbreakable Zipper - The Raider Max Kit Bag is equipped with high-quality smooth zippers that won’t succumb easily.    Top Material - This bag is crafted with premium lightweight tear-resistant fabric and high-grade polyester for a superior finish.    Easy Mobility - The Li-Ning Raider Max Kitbag comes with rounded stitched grip handles that give you the option of easy mobility.   ," 
 The Li-Ning Raider Max is a robust hold it all kit bag. This kitbag features 2 spacious main compartments for holding all the gear you need to get through your match or training session. Insulated chambers ensure quality care for your racket. A sturdy handle is provided for comfortable locomotion.  "
181,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC,"1,030",4.4,"1,689",B07G44G1DC,FUR,"  Outer material: synthetic, color: black; Waterproof    Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Special Features: Back Padding; Age Range Description: Adult; Pocket Description: Utility Pocket; Closure Type: Zipper    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .   "," 
 Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.  "
184,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,899,4.2,286,B097KGL2M5,Puma,"  Ergonomically Designed : Spacious with Multiple Compartments & Pockets : Intuitive Access : Cushioned Back Panel & Shoulder Straps : Lightweight    Bartacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers    Padded Velcro'ed Sleeve fits upto 15.6"" Laptop : Padded Base    Outer material type: Polyester   "," 
 Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.  "
185,Puma Unisex teamGOAL 23 Backpack Core Black X,https://www.amazon.in/Puma-76855-teamGOAL-Backpack-Core/dp/B07XJPLL27,939,4.3,"2,621",B07XJPLL27,Lenovo,  Superior Quality    PUMA Branded   ," 
 Flaunt the latest & coolest styles from PUMA  "
190,Safari Prisma 32 Ltrs Black Casual Backpack (PRISMA19CBBLK),https://www.amazon.in/Safari-Black-Casual-Backpack-PRISMA19CBBLK/dp/B07HN5TMQL,899,3.9,846,B07HN5TMQL,Amazon,"  Outer Material: Polyester, Color: Black; Not water resistant    Capacity: 32 liters; Weight: 400 grams; Dimensions: 47cms x 34cmsx20cms    Number of compartments: 2    Warranty type: manufacturer; 12 months international warranty    Closure Type: Zipper; Age Range Description: Adult; Pocket Description: Utility Pocket    Front pocket, bottle pocket, padded top handle   "," 
 Safari Backpacks are the ideal way to enjoy hands-free adventure on safari. In safari-grade canvas and leather, our range of versatile travel backpacks offer true convenience on walks, game drives, and when birding on safari. From the manufacturer Prisma is a 17 inches laptop compatible, large space backpack.  "
192,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,"1,536",4.5,"2,333",B07PKQ3WJZ,Nivia,"  Capacity: 19 liters, Weight: 566gm<br> <br>    What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.<br> <br>    Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult <br>   "," 
 We have got all that parents require in MOTHERLY DIAPER BAGS: Our Quick Pack Diaper Backpack, as the name suggests, is an economical, travel-friendly, waterproof, lightweight, spacious, and easy to clean and handle moms’s baby care accessory that is a bargain to buy. 12 roomy pockets, 3 insulated milk bottle pockets (18 cm in length each), anti-theft mobile compartment, independent interior wet-dry separator for keeping wet & soiled clothes away from dry ones, fitted zipper closures, adjustable cushioned shoulder straps, front-back zipper openings for 2-way reachability, subtle and chic color combos are some of the many multi-utility benefits you are assisted with. Convenient hands-free usage with D-rings combined with an easy grab-top handle to make it a brilliant carry companion (as a tote/travel/regular diaper bag) and gifting option for the moms and moms-to-be(s) in your list. Take it out for a spin with effortless organizing and exclusive style without burning a hole in your pockets. Whether you are handling things solo or traveling with your peeps, Motherly Diaper Bags are bound to make a lifestyle statement among your friends and family!!!  "
